"stage","budget","system","integral","parameters","parameterKey","seconds","value","hitMaxPoints","messageIntegralEstimate","reportedErrorEstimate","relativeErrorEstimate","messageText"
"optimization",100000,"X","normDenominator","{0.7310894085677733}","0.7310894085677733",3.4278569,0.1640764755782172,false,,,,""
"optimization",100000,"X","coulombNumerator","{0.7310894085677733}","0.7310894085677733",4.876829,-0.4867080108841907,false,,,,""
"optimization",100000,"X","normDenominator","{0.8310894085677732}","0.8310894085677732",3.5792626,0.13639989242095946,false,,,,""
"optimization",100000,"X","coulombNumerator","{0.8310894085677732}","0.8310894085677732",4.9957396,-0.4270560983693765,false,,,,""
"optimization",100000,"X","normDenominator","{0.6310894085677733}","0.6310894085677733",3.6225417,0.1999211943179459,true,0.199921,0.000640978,0.003206153315493988,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.199921 and 0.000640978
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6310894085677733}","0.6310894085677733",4.8847006,-0.5618737895342334,true,-0.561874,0.00405543,0.007217688519270063,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.561874 and 0.00405543
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.5310894085677733}","0.5310894085677733",3.5742228,0.24646169578967164,true,0.246462,0.000677996,0.0027509183438330156,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.246462 and 0.000677996
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.5310894085677733}","0.5310894085677733",4.8712373,-0.6497815271048915,true,-0.649782,0.00429756,0.0066138537658154495,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.649782 and 0.00429756
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6810894085677732}","0.6810894085677732",3.5741099,0.18091499397720315,true,0.180915,0.000624652,0.0034527375883433493,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.180915 and 0.000624652
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6810894085677732}","0.6810894085677732",4.8417209,-0.5234056699342147,true,-0.523406,0.00395581,0.0075578279472921905,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.523406 and 0.00395581
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.7310894085677732}","0.7310894085677732",3.4636822,0.16407647557821725,true,0.164076,0.000604149,0.0036821183406758077,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.164076 and 0.000604149
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.7310894085677732}","0.7310894085677732",4.8336991,-0.4867080108841905,true,-0.486708,0.00375177,0.007708461574701126,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.486708 and 0.00375177
     for the integral and error estimates."
"optimization",100000,"X","normDenominator","{0.6560894085677733}","0.6560894085677733",3.5331799,0.19020613393249836,true,0.190206,0.000633036,0.0033281576514491173,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained 0.190206 and 0.000633036
     for the integral and error estimates."
"optimization",100000,"X","coulombNumerator","{0.6560894085677733}","0.6560894085677733",4.8386503,-0.5434132270790243,true,-0.543413,0.0040302,0.007416455469189233,"
NIntegrate::maxp: 
   The integral failed to converge after 100100
     integrand evaluations. NIntegrate obtained -0.543413 and 0.0040302
     for the integral and error estimates."
