"candidateKey","stage","system","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","elapsedSeconds","workerKernel","status","source","started","completed"
"XX::1000000::0.6798642956307124|0.15377949033301186|2.492963267977676|2.1088466287924317","seed-existing-center","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.1088466287924317",0.0005524954321185569,-0.0026868937173618558,,-4.863196256770663,3413.7562141000003,,"complete","main-state-raw-gauge-trial-a5-c1",,
"XX::2000000::0.6798642956307124|0.15377949033301186|2.492963267977676|2.1088466287924317","seed-existing-center","XX",2000000,"{0.6798642956307124, 0.15377949033301186, 2.492963267977676, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.492963267977676|2.1088466287924317",0.0005537445385939343,-0.002692914341721769,,-4.863098692692493,6832.9737335,,"complete","main-state-raw-gauge-trial-a5-c1",,
"X::2000000::0.8334419257672615","X-initial-grid","X",2000000,"{0.8334419257672615}","0.8334419257672615",0.1357763270914173,-0.4255752845117374,0.7980474541221636,-2.3363375570823326,404.0182268,15,"complete","parallel-pattern-search","2026-07-31T20:53:40","2026-07-31T21:00:24"
"X::2000000::0.628736891368285","X-initial-grid","X",2000000,"{0.628736891368285}","0.628736891368285",0.2007307372486305,-0.5615196130628514,0.4541673569319423,-2.3432099693284503,404.273524,11,"complete","parallel-pattern-search","2026-07-31T20:53:40","2026-07-31T21:00:25"
"X::2000000::0.6799131499680291","X-initial-grid","X",2000000,"{0.6799131499680291}","0.6799131499680291",0.18119413711875632,-0.5223924928270056,0.5311105286782543,-2.3519435321969313,404.2278728,12,"complete","parallel-pattern-search","2026-07-31T20:53:40","2026-07-31T21:00:25"
"X::2000000::0.7822656671675174","X-initial-grid","X",2000000,"{0.7822656671675174}","0.7822656671675174",0.1490347303196056,-0.45529683668998205,0.7030505772733651,-2.3519208090175763,404.27181229999997,14,"complete","parallel-pattern-search","2026-07-31T20:53:40","2026-07-31T21:00:25"
"X::2000000::0.7310894085677733","X-initial-grid","X",2000000,"{0.7310894085677733}","0.7310894085677733",0.164086907768864,-0.4871970764387127,0.6140716021253952,-2.3550688555946557,405.32857190000004,13,"complete","parallel-pattern-search","2026-07-31T20:53:40","2026-07-31T21:00:26"
"X::2000000::0.7566775378676454","X-half-step-refinement","X",2000000,"{0.7566775378676454}","0.7566775378676454",0.15632978518771376,-0.4704662632003638,0.6578088519867765,-2.351638532818679,257.2077882,12,"complete","parallel-pattern-search","2026-07-31T21:00:26","2026-07-31T21:04:43"
"X::2000000::0.7055012792679012","X-half-step-refinement","X",2000000,"{0.7055012792679012}","0.7055012792679012",0.17238236835440254,-0.5039557547839336,0.5718388276892211,-2.351637393195772,258.786416,11,"complete","parallel-pattern-search","2026-07-31T21:00:26","2026-07-31T21:04:45"
"XX::1000000::0.6798642956307124|0.15377949033301186|2.6924003294158902|2.1088466287924317","XX-initial-stencil","XX",1000000,"{0.6798642956307124, 0.15377949033301186, 2.6924003294158902, 2.1088466287924317}","0.6798642956307124|0.15377949033301186|2.6924003294158902|2.1088466287924317",0.0005887362622542389,-0.0028600585524640337,,-4.857962275863603,10145.3886625,16,"complete","parallel-pattern-search","2026-07-31T21:04:45","2026-07-31T23:53:50"
