"candidateKey","stage","geometryKey","a","c","system","budget","parameters","parameterKey","norm","numeratorRy","analyticKineticRy","correctionRy","roughCorrectionErrorRy","singleParticleRy","totalRy","elapsedSeconds","workerKernel","status","source","started","completed"
"5.|0.5::X::2000000::0.7509392140222256","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.7509392140222256}","0.7509392140222256",0.2509712631304279,-0.9867988408914709,0.6478695922929253,-3.284050056924598,0.006439706911895424,48.24378805106118,44.95973799413658,522.0880344,19,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:21"
"5.|1.5::X::2000000::0.5639009538682851","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.5639009538682851}","0.5639009538682851",0.17357177358858883,-0.39579718058947866,0.36532861276651435,-1.9149798291327027,0.004166598935594271,6.002081497784447,4.087101668651744,522.8014648000001,24,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:21"
"5.|1.5::X::2000000::0.6556987835677733","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.6556987835677733}","0.6556987835677733",0.13972624827930427,-0.33747041289985164,0.4939543168827938,-1.9212712907300924,0.004833810284988167,6.002081497784447,4.080810207054355,522.8023714000001,26,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:21"
"5.|0.5::X::2000000::0.8709392140222256","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.8709392140222256}","0.8709392140222256",0.2106910075632928,-0.8737361379625871,0.871472564905987,-3.2755299487162977,0.0073853399509947034,48.24378805106118,44.96825810234488,524.8901374,21,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:23"
"5.|0.5::X::2000000::0.8109392140222256","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.8109392140222256}","0.8109392140222256",0.22966819865866994,-0.927281028924366,0.755535078599456,-3.281946097897599,0.006930974982324552,48.24378805106118,44.961841953163585,525.5008805,20,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:24"
"5.|0.5::X::2000000::0.9309392140222257","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.9309392140222257}","0.9309392140222257",0.19377482472144603,-0.8264552383653535,0.995682051212518,-3.2693469047078096,0.007901369326014304,48.24378805106118,44.97444114635337,525.5653555,22,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:24"
"5.|0.5::X::2000000::0.9909392140222256","X-initial-grid","5.|0.5",5,0.5,"X",2000000,"{0.9909392140222256}","0.9909392140222256",0.1785716650265634,-0.7810117695580702,1.1281635375190486,-3.2454965806295437,0.00839709058093387,48.24378805106118,44.99829147043164,525.6734584,23,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:24"
"5.|1.5::X::2000000::0.6097998687180292","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.6097998687180292}","0.6097998687180292",0.1554486936214968,-0.3652958622737349,0.42722108867192826,-1.9227237951570508,0.004487055557428794,6.002081497784447,4.079357702627396,528.3534081,25,"complete","parallel-pattern-search-remaining","2026-08-01T13:10:38","2026-08-01T13:19:27"
"5.|1.5::X::2000000::0.7015976984175175","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.7015976984175175}","0.7015976984175175",0.12599093273470113,-0.3135353859144604,0.5655282973991107,-1.9230268637462653,0.005236076299994028,6.002081497784447,4.079054634038181,551.5414711999999,19,"complete","parallel-pattern-search-remaining","2026-08-01T13:19:21","2026-08-01T13:28:32"
"5.|1.5::X::2000000::0.7474966132672616","X-initial-grid","5.|1.5",5,1.5,"X",2000000,"{0.7474966132672616}","0.7474966132672616",0.11394162316165253,-0.29122568916160296,0.6419430302208787,-1.913977107483602,0.005596522756134503,6.002081497784447,4.088104390300845,551.1823121,24,"complete","parallel-pattern-search-remaining","2026-08-01T13:19:21","2026-08-01T13:28:33"
"5.|2.::X::2000000::0.5202290788682852","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.5202290788682852}","0.5202290788682852",0.15545218820861206,-0.3055850399309851,0.3109333294590549,-1.654848197661679,0.0037112873392360804,3.556637887159965,1.901789689498286,551.4926248,26,"complete","parallel-pattern-search-remaining","2026-08-01T13:19:21","2026-08-01T13:28:33"
"5.|2.::X::2000000::0.5625733062180293","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.5625733062180293}","0.5625733062180293",0.1384202894232742,-0.2805218460492572,0.3636103794607038,-1.6629844732017687,0.004021357598995682,3.556637887159965,1.8936534139581962,553.8899986,21,"complete","parallel-pattern-search-remaining","2026-08-01T13:19:23","2026-08-01T13:28:37"
"5.|2.::X::2000000::0.6049175335677734","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6049175335677734}","0.6049175335677734",0.12368830746530651,-0.25825418285652624,0.4204074221999119,-1.6675359586161305,0.0043421408950776366,3.556637887159965,1.8891019285438344,554.2340537,20,"complete","parallel-pattern-search-remaining","2026-08-01T13:19:24","2026-08-01T13:28:38"
"5.|2.::X::2000000::0.6896059882672617","X-initial-grid","5.|2.",5,2,"X",2000000,"{0.6896059882672617}","0.6896059882672617",0.09982589683662163,-0.22036936815704375,0.5463614858910055,-1.6611755875570553,0.005003026248311345,3.556637887159965,1.8954622996029096,554.3681596,23,"complete","parallel-pattern-search-remaining","2026-08-01T13:19:24","2026-08-01T13:28:39"
